"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"1",-0.0829721032205833,-0.074137202833486,-0.0726252097011646,-0.0827044111845982,-0.0810000171245014,-0.0900368907264437,-0.122000651330384,-0.0868053017209065,-0.0881909942172541,-0.0799120068390534,-0.108001143253395,-0.089037532129962,-0.0900608090442016,-0.0668871176839827,-0.114566719290171,-0.0969063084165286,-0.084260748339873,-0.129501009071816,-0.0984506216836964,-0.0919978405710035,-0.0767891592293755,-0.0805306423098033,-0.0847515208107131,-0.0936689242581248,-0.0894413002309768,-0.0771014701184884,-0.162918195863767,-0.091962845492769,-0.109570196982896,-0.0765382365356919,-0.04492658697962,-0.0722599590535068,-0.0816063294610193,-0.0951701078102375,-0.0918611881753242,-0.169755380816032,-0.0910873973680073,-0.132484032720177,-0.0846816019619393,-0.0670350924242999,-0.0791342049461781,-0.0739959196902337,-0.0953307444358112,-0.103764335626123,-0.0838891174182091,-0.0785527827678321,-0.107939407506847,-0.0896793438785144,-0.0930843635217487
"2",-0.0671399200044475,-0.0756187563791501,-0.101642215744158,-0.109831759233021,-0.0993346004251118,-0.116408307043673,-0.0710698435798671,-0.0756277769061043,-0.0782836031450043,-0.0676143816925224,-0.10587487411052,-0.0727962092040858,-0.0738881929162571,-0.0545855229749967,-0.0493021111186773,-0.0605047505707484,-0.0711731054967728,-0.0802615243587273,-0.0637350237793657,-0.0598786550186983,-0.0734882833759156,-0.0632010838088335,-0.0550617791576442,-0.0706066432565491,-0.0816682777440425,-0.093366174921574,-0.171538061264218,-0.065069060138133,-0.0783894854479016,-0.0664819715436269,-0.0482321336442485,-0.038029981892701,-0.0857969115832191,-0.0548415143103096,-0.0715273468885364,-0.195803729651705,-0.0568540112997228,-0.0429277072118379,-0.0590058466613757,-0.0681765795991059,-0.10561949368528,-0.0533672321893349,-0.0917786509424685,-0.0894796016704526,-0.081393244922116,-0.078781475780947,-0.127165135608269,-0.0811585750118096,-0.115262685812319
"3",-0.0777863881802522,-0.0264517935246904,-0.0810289779759004,-0.0487336138684779,-0.0607855891496205,-0.0880587900459439,-0.0592329427665296,-0.0669149952843778,-0.046661958420757,-0.0497370221375571,-0.0732270380434579,-0.0497742505865681,-0.00733342839447446,-0.0603711784115588,-0.0329745997208193,-0.0566338207653875,-0.0516984892553992,-0.0772944884481482,-0.0584450408351706,-0.0710324064130888,-0.0619880028315285,-0.0604596508969619,-0.0648326357209929,-0.0920059738697799,-0.0897676703317765,-0.0844595690074187,-0.082171592754611,-0.0869446977872143,-0.0400181614653067,-0.0420667789692907,-0.0248187823386219,-0.0366775327341348,-0.121309349340522,-0.055009867339905,-0.0575785307857214,-0.165486803705428,-0.0907388063729608,-0.0683978960221798,-0.0552681544348177,-0.0373403623963337,-0.0777792189687542,-0.0568654010775424,-0.0635445230338634,-0.0584543424401624,-0.0798078529390874,-0.0702737974568664,-0.0793581518448812,-0.0550484223929548,-0.107774386457847
"4",-0.0770407912612316,-0.0386975401727732,-0.0652778564153817,-0.058658503738086,-0.0619980862866112,-0.0554907542863313,-0.0795860296477757,-0.078732925671664,-0.0449775265826875,-0.0526971792800924,-0.117614016644201,-0.0476691078800432,-0.0711151715442051,-0.0520719447354827,-0.0830109075777317,-0.0685475747979556,-0.0700223284050972,-0.100455740751723,-0.0901661970168043,-0.0868973316466796,-0.0625365564586127,-0.0548913532283524,-0.0848889171282056,-0.0625985623126593,-0.0962708257641395,-0.0577234513010146,-0.0500301452130239,-0.0743523382885526,-0.117050783419212,-0.0575981471226914,-0.0594361304300343,-0.0476956619851352,-0.0682108304828256,-0.0650586323866413,-0.0667091700503492,-0.0912186227441588,-0.0778320314761283,-0.0705836666761182,-0.0723824020240815,-0.0194586940256108,-0.0664328994757996,-0.0448112697489745,-0.0318766884296623,-0.0560887230516189,-0.0760340824248735,-0.088245967624716,-0.108546915514713,-0.0567421427247879,-0.0447279600429083
"5",-0.0730077509479677,-0.054605077383997,-0.0909421555078904,-0.056091801014423,-0.0587910442666937,-0.087704238840555,-0.0955234313677879,-0.0831570526542503,-0.0664495879099316,-0.0616140893379905,-0.114910206760148,-0.0803981993133894,-0.0571398215605843,-0.0575266635387222,-0.0597997976440288,-0.0658005441788321,-0.0657297234744236,-0.0845297111322346,-0.0875808427876924,-0.0929823552351649,-0.0723797137771699,-0.0620641002922407,-0.0587788135800826,-0.068861890396705,-0.0882824808468797,-0.0807043786995256,-0.123720206286165,-0.115945711885189,-0.0893495487813375,-0.0757499713226986,-0.0355881023602118,-0.0592200917859465,-0.106709817026631,-0.0866063026178843,-0.0574099966205686,-0.163184209060607,-0.0937555240143464,-0.0988760717022588,-0.0723198748137369,-0.0668152070451167,-0.0797044933334362,-0.0706842368176299,-0.0592533570703023,-0.071282018858789,-0.0776682216986342,-0.0743087565400649,-0.0747785616070595,-0.0727737463345393,-0.0906779335808142
"6",-0.0700488390634469,-0.0484324151142721,-0.0766349827872894,-0.0621268725934822,-0.0539758604137391,-0.0687044130136015,-0.0696760878307213,-0.0579979400582016,-0.0472097323803164,-0.0690501480025844,-0.0683255511916802,-0.0468453886616594,-0.0399023478759059,-0.0536756317602469,-0.057773404417381,-0.0758331144240723,-0.0574237950670908,-0.0742283875878256,-0.076167190648698,-0.0608136558618432,-0.0577514474499413,-0.0601567916321638,-0.0848990008717412,-0.0634455220046227,-0.0930083468083244,-0.0647321289373953,-0.103397702821515,-0.0931324725797528,-0.073690190732259,-0.0447497394949609,-0.0436041220991729,-0.0485672844602078,-0.0829118827601041,-0.0495255326531679,-0.0632203751083898,-0.117939123648065,-0.0805486127919656,-0.0683563916422659,-0.0699989645329813,-0.0402831559160324,-0.0733808430165318,-0.0629249544817297,-0.0572665360598255,-0.0701642121981495,-0.0673388423273837,-0.0754222130121635,-0.0989808047583277,-0.0625794777766648,-0.0505028035595777
"7",-0.093767678644617,-0.0426251694008714,-0.0687293174208443,-0.0416741448567489,-0.0667520948710409,-0.095994420007997,-0.0794445021689341,-0.0611154324548345,-0.0479629739176655,-0.0698698078143893,-0.113773611277383,-0.0717136697900747,-0.0627043454015583,-0.0765189805710037,-0.0858221408000731,-0.103511496323061,-0.0598997299088717,-0.101472518294744,-0.0903817049871815,-0.0828303941767133,-0.0725284437337227,-0.0723904420256195,-0.0859140344000792,-0.0809256845949888,-0.0925431913950824,-0.0906591930227277,-0.145889845463752,-0.108902877581732,-0.134202617923727,-0.0477976665657965,-0.0404822915053113,-0.055181621301823,-0.122990273880804,-0.0536339374335249,-0.0777537170134549,-0.18353639706274,-0.0826800517147102,-0.114323557294503,-0.0583640302577701,-0.0673543394222871,-0.0628051031681197,-0.070496318887606,-0.0497579238980876,-0.0862951943964159,-0.0797488818033194,-0.0606414055870838,-0.0955595442539892,-0.0455340051144931,-0.0942283960301066
"8",-0.100823212096766,-0.0729969709645563,-0.11751663289575,-0.113201072680264,-0.0909156956127279,-0.127161768866981,-0.0819109795457438,-0.116809315896019,-0.078463162993677,-0.074045771262472,-0.123225821824014,-0.1033569608084,-0.0907937302403029,-0.0865125461489367,-0.0791228668361187,-0.0934193547932735,-0.0887110167002414,-0.110194472646267,-0.0813082034655325,-0.113820580216652,-0.0960888283827906,-0.0965335640852816,-0.0920161343047251,-0.0898252014136358,-0.117658354455416,-0.114965148411172,-0.0937457480019612,-0.136509195759833,-0.104721001070996,-0.0716696946374049,-0.0615766836660918,-0.0555852901810316,-0.13884627056881,-0.0805443962332421,-0.0964397824005691,-0.249973869616828,-0.111208587145481,-0.111378683743123,-0.0725560607522649,-0.0852944813270283,-0.113463826507984,-0.0814590506030601,-0.0978187162512864,-0.124248711535812,-0.0967404810667055,-0.071227685069964,-0.12738882573534,-0.0810053846248322,-0.158356624857436
"9",-0.046584879733759,-0.0428521084437628,-0.0689176611153,-0.0587424498620641,-0.069262792242549,-0.0655251365953699,-0.0761046430959931,-0.0611435254005497,-0.0474863775598323,-0.0452987448016485,-0.065575619876965,-0.0327973507235908,-0.0415379359607273,-0.0544984387416107,-0.046673614116685,-0.0666812577834999,-0.0534140735429284,-0.0864736266121364,-0.0687817983898347,-0.0777321780872195,-0.0579755720581441,-0.052475741922246,-0.0623500569518165,-0.0650875789637332,-0.0706853361383403,-0.0702876222828243,-0.0745591900294865,-0.0614464765199524,-0.086611434199829,-0.0599986232067457,-0.0325466633430318,-0.031546413649407,-0.0909688182380363,-0.0462594379456651,-0.0670765058259002,-0.0960326622388216,-0.0766574159133669,-0.077405750076122,-0.0526116776433913,-0.0391175667744678,-0.0707124119155416,-0.0488317161828489,-0.0243741380207344,-0.06390708571936,-0.0745345043875507,-0.0619443691026683,-0.080712315377163,-0.0536714775592883,-0.0477725648749649
"10",-0.0582289402206583,-0.024679422431532,-0.0414383973443845,-0.00448393312294986,-0.0607406409630009,-0.0659187777353678,-0.0482322479121849,-0.0596927581330002,-0.0354736464798397,-0.0510609094612018,-0.0490505401855215,-0.0258979610621608,-0.0405776752434429,-0.0570746217841539,-0.0140764068475302,-0.0667371435385556,-0.0435839986442169,-0.0693225493660138,-0.0644455857916061,-0.0557196770154326,-0.0613854872318665,-0.0481083384829421,-0.0524766491381127,-0.053125869724366,-0.0666087238694405,-0.0526801994581822,-0.156468648905701,-0.0800727590777548,-0.0684059132400972,-0.0824836009193533,-0.0238404163458984,-0.0381737204731816,-0.0537614165031502,-0.0478796264231643,-0.0577144379235081,-0.116414972466259,-0.0725289639923142,-0.0865657601660653,-0.053781266145917,-0.0573894295135729,-0.0504221499821935,-0.0588468392017694,-0.024295844104382,-0.0446898476521034,-0.0596706560977432,-0.0421516357107231,-0.0525023941546961,-0.0443807024217821,-0.06974498241822
