"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"1",0,0,0,0.30435162380274,0,0,0,0,0,0,0,0.212751831213851,0,-0.0576923899799843,0,0,0,0,0,0,0,0,0,0,0.396618479717737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14854907494451,-0.604979473806152,0,0,0,0
"2",0,0,0,0.77223854570039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285996739988285,0,0,0,0,0,-0.234594099629931,0,0,0,0,0,0,0,0,0,0,0,0,-0.503377908680554,0,0,0
"3",0,0,0,0,0.210910629766075,0,0,0,-0.720490138239812,0.176670264562568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211055121864488,0,0,0,0,0,-0.404081608919103,0,0,0,0,0,0,0.254953440495029,0,0,0.331423021659212,0.0918142406712204,0,0,0,0,0
"4",0,0,-0.124306177285452,0,0.131903233617557,0,0,-0.0841876906036961,-0.119821960685268,0,0,0,0.41764657904277,0,0,0,0,-0.257587778545781,0,0,0,0,0,-0.217878152954393,0,0.0569809080524395,0.278009210488266,0,0,0,0,0,0,0,0,0,0,0.35459671683614,0,0,0.204130957310148,0,0,0,0,-0.635007122421615,0,0,0
"5",0,0,0,0,0,0,0,-0.839709752316794,0,0,0,0.311814771769601,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335825975183352,0.141233206563574,0,0,0,0,0,0,0,-0.247525896567675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,-0.231884247880408,0,0,0,0,0,0,0.819581908850139,0,0,0,0,0,0,0,-0.363234559277266,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0522312247979607,0,0,0,0,0,0,0,0,0,0,0.263967012641089,0,0,0,0,0,0
"7",-0.279544225306525,0,0,0,0.295575649233402,0,0,-0.417777183461671,0,0,0,0,0.787841337267436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19340086929379e-18,0,-0.155472003213523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0.0673490644865253,0,0,0,0,0,0,0,0,0.807009310901409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.456059309698366,0,0,0,0,0.286883494491898,0,0,0,-0.197034432184665,-0.0167500535405282,0,0,0,0
"9",0,0,0,0,-0.511391997067885,0,0,0,0,0,0,0,0,0,0,0,0,-0.255756039750465,0,0,0,0,0,0,0,0,0,0,9.87078366677092e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0.100599259730941,0,0,0.453545172665769,-0.371758710581603,-0.0529083163917556,0,0,0,0,0,0,0,0,0,0,-0.363526109647747,0,0,0.186053673016681,0,0,0,0.109293835039983,0,0,0,0,0,0,0,-0.124667153274019,0,0,0,0,0,0,0,0.381005136292578,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,-0.314143839797004,0,0,0,0,0,0,0,0,0,0.633925710686232,0,0,0,-0.249718613139734,0,0,0.227419770650107,0,0.346097927069608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28133808446125,-0.229779797251623,0,-0.365219189788977,0,1.14001843063196e-18,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807173973630684,0,0.567055439218903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
