"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"1",-0.113617752584122,0,0,-0.305906938276084,-0.0444804777355239,-0.358220656609779,0,0,0.177970493747793,0,0,0.214895866194304,0.242990431467751,0,0,0,0,0.0981744518928122,0,0,0.218356904718023,-0.230601583133032,0,0,0.035477932990008,-0.0535981144945909,0.0508998276595931,0,0.0855019850512841,0,0,-0.321060085934027,0,0,0,0,0.20517108341813,0,0.276473966625336,0,0,0,0.401890952443409,-0.192276164318029,0,0,0.0916554894803222,-0.134572089554334,0
"2",0,0,-0.146710987081079,0,0.157364663312491,0,-0.0314305118829735,-0.211320882887717,0,0,0,0,0,-0.229912478177163,0,0.221563384830651,0.145290159178047,0,-0.086988202441049,0,0,0,0,0.0246047939825393,0.10668078253443,0.0530709936061952,0,-0.0953137042852971,-0.0747764022366986,-0.160654784004952,0.14494156343803,0,0,0.296494618186257,-0.0215511052966826,-0.0352639362963818,0.137770684738456,0.111935101963061,0,-0.118369133773331,0,0,0,0,0,0,0,-0.0929142824697603,0
"3",0.0121354347265278,0,-0.289642871795228,0.286373400557648,0.408351488503269,-0.422099749719789,0,0,0,0,0.0356360641316607,0,0,0,-0.26077492091174,0,0,0,-0.148682457629627,-0.116183298512113,0,0,0,0.00945981041855173,0,0,-0.0456749500835628,0.104358168448496,0,-0.271313024360715,0,0,0,0,0,-0.0232587010943828,0.406233318324166,0,0,0.293603685872028,0,-0.29284898088793,0,0,0,0,0.0808277424855268,0,-0.468923395002332
"4",-0.256301015573708,0,-0.185645312482957,0.0682888984171638,0.239901556306606,0,-0.188097951339945,0,0,0.157227891959266,0.163303172875661,-0.0302160176404441,0.0189828431681729,0,0,0,0,0,0.241991331246445,0,0,0,0,0,1.0842021724855e-19,0.103731825442306,0.0645115527611721,-0.100155542995862,-0.137046574239243,0.016232103100115,0,0.0356523756989234,-0.152374210446846,0,0,0,0.103852136752742,0.221721845214501,0,0.101837309577254,0,0,0,0,0,0,0,-0.375362194872456,0
"5",0,0,-0.678251758958194,0,0,0,0.114036102106728,0,0,0,0,0,0.142978041940101,-0.465745824341277,0,0,0,0,-0.101809209073932,1.38777878078145e-17,0.691310156669575,0,0,0.332218993837897,0,0.238796543064799,-0.373728051173673,0,-0.0448505164808412,0,0.386340690842584,0,-0.124134325053793,0,-0.246096294557646,0,-8.67361737988404e-19,-6.93889390390723e-18,0,0,0,0,0,0,-0.354446899852675,0,0,0,0
"6",6.93889390390723e-18,0,0,-0.406890556041608,0,-0.115053563037677,0,0,0,0,0.105074554710994,0,0,-0.698510299872741,0,0.000646688078007561,-0.180429622502171,0,-0.251175819587475,-0.0420654239337012,0.0367941671643058,0,0.177655719961262,0.337733857904213,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.155783470481668,0,0,-0.302548312132093,0,0,0.581189892720016,0,0.236757425418204,0,0,0,0.158415387671093
"7",0,0,-0.340719953103571,0,0.056071393205949,-1.10013387368567,3.46944695195361e-18,0,0,0,0.0780501300282143,0,0.276821615576835,0,0,0,0,0.42586088009296,-0.553301505174306,-0.191543544267602,0.68875114474174,0,0,0,-0.155944760817246,0,0.237963364438266,0,0,0,0,0,0,0,0.0992167499477177,0,0.134282622641913,0,0,0,0,0,0.554228332730637,-0.289937214106939,0,0,0,0,-6.93889390390723e-18
"8",0,0,-0.208288546282884,-0.0124049117676607,0.000796731346304263,-0.0705579696906049,0,0,0,0,0,0.114911205699863,0,0,0,0,-0.115674439109911,0.152157001066614,-0.153084259350904,-0.180706269083058,0,0,0,0.0830409004788025,0.0390479227715894,0,0.00656996295835287,0,0.007010826008958,0,0,0,0,0,0.186630356439975,0,0.0144205584570179,0.0630788819290158,0,0,0,0,0,-0.480479926319113,0,0,0.512390619336856,0,0.0748164192658916
"9",-2.16840434497101e-19,0,0,0.0349144490146984,0,-0.150147851713471,0,0,0.248870628437851,0.250500120340781,0.24887969991637,-0.121196074446862,0,-0.0551399720588598,0,0,0,-0.0786504968284282,0,0,0,0,0,0,0,0,0.00113395708997433,0,-0.124690349446063,0,0,0.00496002192526023,0,0,0,0.106367878617805,0,-0.047995508924651,0,0,0,0,0,0,0.0402884447123543,0,0,0,0
"10",0,0,-0.026984081312982,0,0,0,-0.389944470190659,0,0,0,0.251480944983036,0.0838164601481327,0.00508755636988084,0,0,0,0,0.669716679783893,-0.1989958762093,-0.572327682233426,0,0,0,0.0692040486649018,0.0722272182264479,0,0,0,0.00625095974808989,0,0,0,0,0.2002764630871,0.512155841425852,0,0,0,0,0,0,0,0.189560120568738,-0.480956013842636,0,0.0992698685004659,0,0,0
"11",0,0,-0.192317416446718,0.306585684477255,0.391781023412211,0,-0.250344125323492,0,-0.509635216866436,0,0,0,0,-0.109094692787637,0,0,-0.18779309150069,0,-0.0303240733172328,0.698655079089828,0,-0.00562044183989433,-0.274412093687105,0.272415045482387,0,0,0.0966282531940722,0,-0.168127922814015,0,0,-0.0690502728932865,0,0.567761460713382,0,0,0.0398539097958397,-0.0438127594562965,0,0,0,-0.0489834382636164,0,0,0,0,0.102142170912931,0,-0.113651656803272
"12",0,0,-0.0366567635394255,0,0.0284759360773476,0,0.197728199702848,0,0,0,0,0,0.124839178369754,-0.0040720232589699,-0.189034758384971,0,0,0,-0.116644118298131,0.0562816193659248,0,0,0,-0.202483872138645,-0.0399216823893237,0,-0.159904898024694,-0.092028907577378,-0.0125618263653264,0,0.186746249277253,0,0,0,0,0,0.134352477740518,0,0,0,0,0,0,0,0,0,0,0,0
"13",-0.193465544719941,0,-0.188077009273615,0,0.143891623162154,-0.00592800337345909,0.0968086492319155,0,-0.124646614901242,0.47243177545521,-0.0752872355272172,-0.00780696972875169,0.0731767093885037,-1.73472347597681e-18,-0.293942263649608,0.257839876003151,-0.113646451522864,0,0,0.227976091433212,0,0,-0.244915644366063,0,0.216517481303265,0,-0.0521617554335662,-0.0529561267274712,-0.0236398309836055,0,-3.46944695195361e-18,0,0,0,-0.147805864670232,0.044850311145839,0.226730539208648,0,-0.326208416591487,0,0,0,0,-0.486280180332306,0,0.259491906387599,0,-0.339311140708776,0.198795094857733
"14",0,0,0,-0.0463335206870378,0.0205844964541885,0,-0.0631849533926055,0,0,0,0.108547977464774,0,0,-0.313248334998106,0,0,0,0,0,-0.340822705627073,0,0,0.149927817145329,0.310675303268643,0,0,-6.93889390390723e-18,0,-0.0447003799647973,0,0,0,0,0,0,0.13383484713733,0.0694155367814265,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0.556397101339369,-0.259241645218485,-0.129509227897347,0.211888933644864,-1.14210032476337,0,0,0,0,0.0299360076289689,0.056642343020578,0.245615577746652,0,0,0,0,0,-0.247323826285433,0,0.817602823229053,0,0.276427789932142,0,-0.295008295552772,0,-0.011356554457376,0,0.188832889001389,0,-0.291895604080842,0,0,0,0,-0.183137952173911,0.124545600522249,0,0.14494866341138,0.0289877935627665,0,-0.581568679675039,0.407376291700744,-0.176377365486164,0,0.0866179024647509,0,-0.155002579561407,0
"16",0,0,-0.0689791150619603,-0.315581614435601,0.234052769656266,0,-0.121075193699222,0,0,0,0.582423614960976,0.338469455062332,0.108987409319088,0,0,0,0,0.116662623163769,-0.0447306331745584,-0.283357951672277,0,0,0.18916888897511,0,0,0,-0.0716464886478247,0,3.46944695195361e-18,0,-0.117927930514933,0,0,0,0.0413800022790663,0,0.275064419594312,0,0,0,0,0,0.48936688907341,-0.66329068479327,0,0,0,0,0
"17",0,0.052771893087703,-0.195416210546905,-0.0865521098605778,0,0,-0.233300272622231,0,0,0,0.160403987063033,0.0649759949180994,0,-0.0928343960583484,0,0.0313575960235345,-0.406811725227988,0,-0.0209517059571385,-0.0610941846746636,0,0,0,0.291006466511905,0,0,-0.0149468797907978,0,0,0,0,0,0,0,0,0.0387176611606143,0.147736506348049,0,0,-0.150507385681227,0,0,0.421195810133636,-0.0695619495584611,3.46944695195361e-18,0,0.640318191661423,0,0
"18",1.73472347597681e-18,0,-0.0667788156727852,-0.270565124462215,0.0992477524068845,-0.0366953774663193,0,0,0,0,0.262918677063216,0.779683632199714,0,-0.0182420491303254,0,0,-0.22991286817459,0.513317071296991,-0.254818440305385,-0.477976324448522,0,0,0.195014813931676,0.124080154301935,0,0,0,0.18688629433817,0.151265841559182,0,0,0,0,0,0,-0.0228764281850152,0.334437309986541,0,0,-0.529195629701662,0,-0.651067723337274,0.958317243061241,-1.15605371683926,0,0.460905822418484,0,-0.129146572357198,0
"19",0,0,-0.197232434034615,-0.372157977006223,-0.00743198211213242,-1.34535992858988,-0.510367804150186,0,0,0,0.112288959602687,0.707444571909781,0,0,0.532202674276573,0.411361546716824,0,0.178400198994998,-0.672291712371649,-0.232345242507803,0.67457645523487,0,-3.46944695195361e-18,0,0,0,0,0,0.157705256082333,0,0,0,0,0,0.458571199304786,0,0.305921385732872,0,-3.46944695195361e-18,0,0,-0.237939190931186,0,-0.188798216002799,0,1.00950787290241,0,-0.471533548715123,0
"20",0,0,0,0,0.0547569423032579,-0.260892291867566,-0.27413731674386,0,0,0,0.409452795266894,0,1.38777878078145e-17,-1.73472347597681e-18,0,0.269715574258211,0,0,-0.288275421298083,-0.509913146428046,0,0,0.0875041820490732,0,-0.135069768326665,0,-0.113202574528694,0,0.110730161966167,0,-0.074480094591441,0,0,0,0.483058447153176,-4.33680868994202e-19,0.296361074750813,0,0,0,0,0,0.210125393020227,-0.248558904408661,0,0,0,0,0.113841185624787
"21",0,0,-0.31306671090348,0,-0.0783537858844143,-0.699862261522444,0,0,-8.67361737988404e-19,0,0.322175061818262,0.294316657286461,3.46944695195361e-18,0,0,0.345616453251713,0,0.19785987617425,-0.740573279906815,-0.380620190994547,0.351455375213034,0,0,0,0,0,-0.0125284692942532,0,0.154782538998098,0,0,0,0,0,0.670066695304229,0,0,0,0,0,0,0,0.198887659504714,-0.3260077569894,0,0.0921277349707966,0,0,0
"22",0,0,-0.101662119663108,0,-0.268052161899753,-0.633212229855159,-0.0668053949257078,0,0,0,0,0.311387872956481,0.440356263364131,0,0.33970149942716,0,0,0.683961055029659,-0.605852966111085,-0.355540394341761,0.373503901566914,0,0,0,0.12505935672572,0,0.0625022534691423,0,0,0,0,-0.170699475975485,0,0,0.221503536719745,-0.166717474090534,0.433354242222427,0,0,0,0,-0.532217898431034,0.0706641204262865,-0.646866576575927,0,0.631035640876649,0,0,0
"23",0,0,-0.179852591075409,-0.519825090135102,0.174726383979318,0,-0.0922624377815683,0,-0.515442970634353,0,0.603459259728756,0,0,0,0.294805885119969,0.175558648546059,0,0,-0.100368240811421,-0.383107484654404,0,0,0,0,-0.245152927084204,0,-0.24667081506662,0,0.0934951782037593,0,-0.00749808266075583,0,0,0,0,0.33025265247493,0,0,0,0,0,0,0.272537281581045,-0.137454420283956,0,0.160599231787064,0,0,0
"24",0,0,0,-0.170224890148301,0,0,-0.323908311732084,0,0,0,0.231401087636281,0,0,-0.335267431336071,0,0.492076067117148,-0.0637413400137633,0.666531110458761,-0.0415538904606212,-0.406231006276797,0,0,0.306736598027691,0.175210209727977,0,0.119592897250807,-0.0678925136599299,0,0.0356971526950563,0,0,0,0,0,0.244824154995834,0.35044023425461,0,0,0,-0.542223947963852,0,0,0.274488487647564,-1.16051530446446,0,0.683027418904255,0,0,0
"25",0.207528626505396,0,0.07293527768241,0,0.0535876858135074,-3.46944695195361e-18,-0.0866409022432278,0,0,0.121841959567529,0.171353991305655,0,0,-0.694507157397842,0,0,0.596954338578024,0,-0.220623914495625,0.0121443187217345,0,0,-0.299468084673309,0.182589109650404,-1.38777878078145e-17,0,0.334033671273805,0,-0.0199518542075529,0,0,0.330376216788764,0,0.116359361618365,0.157778901204415,-0.202468858190749,0.393968504788519,0,0,-0.314141120402884,0,0,0,0,2.16840434497101e-19,0,0,0,0
"26",0,0,0,0,0.175863343180344,0,-0.472616445084049,0,-0.608671400164782,-0.033916199866136,0.318205128975972,0,0,0,0,0,0,0,0.20459956283852,0.156291958349962,0,0,0.0176584349722183,0,0,0.103145090818351,0.266233530314753,0,-0.0849664902917749,0,0,0.100045749633639,0,0,0,0,0.108753459172085,0.032582997946926,0,0,0,0.00339504065833355,0,0,0,0,0,0.190883505897805,0.00851489209109748
