,Mkt-RF,SMB,HML,RF
197001,   -8.10,    2.91,    3.06,    0.60
197002,    5.13,   -2.38,    4.03,    0.62
197003,   -1.06,   -2.32,    4.25,    0.57
197004,  -11.00,   -6.11,    6.40,    0.50
197005,   -6.92,   -4.50,    3.65,    0.53
197006,   -5.79,   -2.13,    0.79,    0.58
197007,    6.93,   -0.56,    1.03,    0.52
197008,    4.49,    1.53,    1.07,    0.53
197009,    4.18,    8.63,   -5.50,    0.54
197010,   -2.28,   -4.22,    0.20,    0.46
197011,    4.59,   -4.07,    1.68,    0.46
197012,    5.72,    2.93,    0.99,    0.42
197101,    4.84,    7.44,    1.35,    0.38
197102,    1.41,    1.90,   -1.34,    0.33
197103,    4.13,    2.57,   -4.00,    0.30
197104,    3.15,   -0.48,    0.74,    0.28
197105,   -3.98,   -1.10,   -1.38,    0.29
197106,   -0.10,   -1.43,   -2.00,    0.37
197107,   -4.50,   -1.50,    0.14,    0.40
197108,    3.79,   -0.19,    2.72,    0.47
197109,   -0.85,    0.41,   -2.95,    0.37
197110,   -4.42,   -1.78,   -0.48,    0.37
197111,   -0.46,   -2.83,   -1.75,    0.37
197112,    8.71,    3.28,   -0.24,    0.37
197201,    2.49,    6.11,    2.06,    0.29
197202,    2.87,    1.39,   -2.75,    0.25
197203,    0.63,   -0.27,   -1.66,    0.27
197204,    0.29,   -0.02,    0.39,    0.29
197205,    1.25,   -2.79,   -2.73,    0.30
197206,   -2.43,    0.32,   -2.42,    0.29
197207,   -0.80,   -2.89,    0.77,    0.31
197208,    3.26,   -4.07,    4.64,    0.29
197209,   -1.14,   -2.69,    0.50,    0.34
197210,    0.52,   -2.71,    1.32,    0.40
197211,    4.60,   -1.12,    4.76,    0.37
197212,    0.62,   -1.86,   -2.26,    0.37
197301,   -3.29,   -3.50,    2.70,    0.44
197302,   -4.85,   -3.99,    1.70,    0.41
197303,   -1.29,   -2.87,    2.83,    0.46
197304,   -5.68,   -3.99,    5.69,    0.52
197305,   -2.94,   -6.12,    0.21,    0.51
197306,   -1.56,   -2.94,    1.42,    0.51
197307,    5.04,    7.86,   -5.18,    0.64
197308,   -3.84,   -2.04,    1.19,    0.70
197309,    4.75,    2.91,    2.11,    0.68
197310,   -0.86,   -0.17,    1.74,    0.65
197311,  -12.74,   -7.70,    4.01,    0.56
197312,    0.58,   -5.33,    4.24,    0.64
197401,   -0.17,    9.87,    5.86,    0.63
197402,   -0.48,    0.01,    2.55,    0.58
197403,   -2.81,    2.48,   -0.09,    0.56
197404,   -5.29,   -0.72,    1.01,    0.75
197405,   -4.67,   -3.04,   -2.07,    0.75
197406,   -2.83,   -0.18,    0.77,    0.60
197407,   -8.05,    0.90,    5.22,    0.70
197408,   -9.35,   -0.69,    2.56,    0.60
197409,  -11.77,    0.26,    5.54,    0.81
197410,   16.10,   -3.50,   -9.72,    0.51
197411,   -4.51,   -1.18,   -0.10,    0.54
197412,   -3.45,   -4.84,    0.07,    0.70
197501,   13.66,   11.01,    8.22,    0.58
197502,    5.56,    0.17,   -4.50,    0.43
197503,    2.66,    3.77,    2.41,    0.41
197504,    4.23,   -0.52,   -1.11,    0.44
197505,    5.19,    3.84,   -4.08,    0.44
197506,    4.83,    0.77,    1.28,    0.41
197507,   -6.59,    2.68,    1.69,    0.48
197508,   -2.85,   -3.20,   -0.90,    0.48
197509,   -4.26,   -0.13,    0.35,    0.53
197510,    5.31,   -4.02,    0.30,    0.56
197511,    2.65,   -1.19,    1.99,    0.41
197512,   -1.60,   -0.76,    1.76,    0.48
197601,   12.16,    4.81,    8.57,    0.47
197602,    0.32,    7.04,    5.77,    0.34
197603,    2.33,   -1.16,   -0.02,    0.40
197604,   -1.49,   -0.04,   -0.06,    0.42
197605,   -1.34,   -1.25,   -1.33,    0.37
197606,    4.05,   -1.35,    0.68,    0.43
197607,   -1.07,    0.30,    1.74,    0.47
197608,   -0.56,   -2.00,    0.77,    0.42
197609,    2.06,   -0.01,   -0.29,    0.44
197610,   -2.42,    0.25,   -0.13,    0.41
197611,    0.36,    2.35,    1.52,    0.40
197612,    5.65,    3.00,    2.22,    0.40
197701,   -4.05,    4.78,    4.27,    0.36
197702,   -1.95,    1.10,    0.49,    0.35
197703,   -1.37,    1.00,    1.03,    0.38
197704,    0.15,   -0.11,    3.45,    0.38
197705,   -1.46,    1.20,    0.83,    0.37
197706,    4.71,    2.13,   -0.65,    0.40
197707,   -1.69,    2.13,   -0.61,    0.42
197708,   -1.75,    1.52,   -2.80,    0.44
197709,   -0.27,    1.45,   -0.49,    0.43
197710,   -4.38,    1.27,    1.71,    0.49
197711,    4.00,    3.69,    0.36,    0.50
197712,    0.27,    1.33,   -0.35,    0.49
197801,   -6.01,    2.22,    3.28,    0.49
197802,   -1.38,    3.56,    0.80,    0.46
197803,    2.85,    3.45,    1.27,    0.53
197804,    7.88,    0.38,   -3.48,    0.54
197805,    1.76,    4.56,   -0.63,    0.51
197806,   -1.69,    1.69,    0.58,    0.54
197807,    5.11,    0.28,   -1.09,    0.56
197808,    3.75,    5.10,   -0.48,    0.56
197809,   -1.43,   -0.41,    1.87,    0.62
197810,  -11.91,   -9.90,    1.36,    0.68
197811,    2.71,    3.01,   -2.21,    0.70
197812,    0.88,    1.25,   -2.19,    0.78
197901,    4.23,    3.68,    2.24,    0.77
197902,   -3.56,    0.45,    1.18,    0.73
197903,    5.68,    3.19,   -0.65,    0.81
197904,   -0.06,    2.16,    1.07,    0.80
197905,   -2.21,    0.55,    1.92,    0.82
197906,    3.85,    1.18,    1.48,    0.81
197907,    0.82,    1.26,    1.68,    0.77
197908,    5.53,    2.07,   -1.49,    0.77
197909,   -0.82,   -0.24,   -0.89,    0.83
197910,   -8.10,   -3.32,   -1.89,    0.87
197911,    5.21,    2.74,   -3.27,    0.99
