"","V1","V2","V3","V4"
"1",-0.01577,0.02567,0.01571,0.02324
"2",0.00906,0.01758,0.02881,0.02638
"3",-0.00221,0.01267,0.0209,0.0117
"4",0.02127,0.04089,0.04012,0.02376
"5",-0.000439999999999999,0.0336,0.03207,0.04555
"6",-0.00222,-0.00422,-0.01311,-0.00395
"7",0.0083,-0.05826,-0.05584,-0.05771
"8",-0.00181,0.04523,0.0378,0.03993
"9",0.00148,0.06446,0.04808,0.05488
"10",0.00196,0.0082,0.00622,-0.00058
"11",0.00853,0.05923,0.06628,0.05592
"12",-0.00507,0.00165,-0.01832,0.00193
"13",-0.00686,0.06276,0.05283,0.06289
"14",-0.00758,0.00626,0.01619,-0.000409999999999999
"15",0.01273,-0.03605,-0.01791,-0.04852
"16",0.01081,0.04493,0.04542,0.03873
"17",0.02513,0.06555,0.08075,0.05376
"18",-0.00663,0.05575,0.04919,0.04645
"19",0.01539,0.08737,0.08909,0.05032
"20",0.01284,-0.03688,-0.0238,-0.03554
"21",0.01628,0.05676,0.06865,0.04758
"22",-0.0239,-0.05234,-0.0706,-0.04828
"23",-0.0111,0.002,0.00994,-0.00149
"24",0.0035,0.02264,0.01682,0.00921
"25",0.01871,-0.02099,-0.00949,-0.01328
"26",0.00291,0.08045,0.0821,0.07136
"27",0.00321,0.04699,0.05689,0.0534
"28",-0.00135,0.00183,-0.01039,0.00543
"29",-0.0283,-0.02878,-0.04121,-0.02165
"30",0.01721,0.00997,0.00916,0.00463
"31",3.00000000000022e-05,-0.02913,-0.05944,-0.01182
"32",-0.01505,-0.18019,-0.17618,-0.15799
"33",-0.00439,0.04301,0.01917,0.05999
"34",-0.00909,0.08379,0.07896,0.07886
"35",-7.99999999999967e-05,0.05852,0.05413,0.05715
"36",-0.03039,0.06757,0.04061,0.06478
"37",0.00661,0.04493,0.03434,0.02948
"38",-0.02789,-0.01615,-0.03478,-0.00936
"39",-0.01092,0.05092,0.03514,0.05299
"40",0.01464,0.09834,0.11822,0.0937
"41",0.00606,-0.03698,-0.03399,-0.0168
"42",0.02896,0.03396,0.06083,0.0376
"43",0.01107,-0.01543,-0.02209,-0.03736
"44",-0.01238,-0.02442,-0.02383,-0.0113
"45",-0.00269,-0.03021,-0.03543,-0.05866
"46",-0.03685,-0.02167,-0.00975999999999999,-0.02913
"47",0.00169,0.02221,0.00758,0.02538
"48",-0.01141,0.08335,0.10576,0.04716
"49",-0.02707,-0.02509,-0.03361,-0.00147
"50",0.01633,-0.01085,0.00075,-0.02127
"51",0.00994,0.04934,0.05058,0.07672
"52",0.00946,-0.03764,-0.0128,-0.00373
"53",0.02331,-0.05107,-0.02219,-0.06756
"54",-0.02292,0.05756,0.01081,0.05106
"55",0.00981,0.00409,0.01605,0.01594
"56",-0.00792,0.0961,0.08212,0.06426
"57",0.00213,-0.09911,-0.06032,-0.03333
"58",0.03064,-0.00444,-0.00755,-0.00818
"59",-0.02979,-0.08607,-0.10416,-0.06128
"60",-0.03498,0.04178,0.03073,0.06772
"61",0.02429,0.02953,0.03167,0.03029
"62",-0.05829,-0.06975,-0.11786,-0.02529
"63",-0.02409,-0.03479,-0.08127,-0.02784
"64",0.00547,0.08603,0.08221,0.0524
"65",0.00165,0.01883,0.01444,0.02031
"66",0.012,-0.02958,-0.03188,-0.03149
"67",0.03589,-0.04107,-0.02053,-0.02277
"68",-0.01311,-0.06273,-0.06048,-0.02729
"69",0.01196,-0.14538,-0.11998,-0.10625
"70",-0.00604,0.0514,0.07439,0.03737
"71",0.00399,0.11185,0.11693,0.05016
"72",0.01542,0.03704,0.01767,0.02302
"73",0.01262,-0.01432,0.00103,0.00033
"74",-0.0251,-0.00456,-0.01998,0.02517
"75",-0.00204,0.07128,0.06478,0.0539
"76",0.00011,-0.01501,-0.0255,-0.02805
"77",-0.00439,-0.02071,-0.01748,-0.01281
"78",0.01017,-0.02057,-0.02519,-0.04589
"79",0.01095,-0.07775,-0.09417,-0.10161
"80",0.01288,-0.01494,-0.00223,0.000230000000000001
"81",-0.00717,-0.10383,-0.11543,-0.07944
"82",0.04786,0.07286,0.10256,0.000330000000000002
"83",-0.00235000000000001,0.12957,0.11986,0.09215
"84",-0.00782,-0.08874,-0.06504,-0.03799
"85",0.02084,-0.03328,-0.01181,-0.04634
"86",-0.00946,0.00846,-0.02057,-0.00467
"87",0.00287,-0.00165,0.00871,0.00384
"88",0.00914,0.07178,0.08151,0.06618
"89",0.00415,0.08233,0.0769,0.07673
"90",-0.00118,0.02028,0.01355,0.01297
"91",-0.00629,0.05073,0.04482,0.02588
"92",0.01026,0.04408,0.05206,0.03678
"93",-0.0035,-0.02504,-0.02068,-0.02683
"94",0.01399,0.09039,0.08571,0.0793
"95",0.01359,0.02251,0.02489,0.01809
"96",-0.04021,0.07589,0.03699,0.09976
"97",0.02427,0.01699,0.01892,-0.00599
"98",-0.01838,0.02826,-0.00186,0.03049
"99",-0.00246,0.00768,0.0046,0.00703
"100",-0.01064,-0.01532,-0.0314,-0.01195
"101",-0.00356,0.03208,0.0244,0.02774
"102",-0.02508,0.04254,0.02775,0.06083
"103",-0.01585,-0.05719,-0.06071,-0.02929
"104",-0.01908,-0.0032,-0.0271,0.01531
"105",0.00653,0.02755,0.03295,0.03624
"106",0.00185,0.02565,0.03457,0.0111
"107",-0.01993,0.07087,0.05451,0.08503
"108",0.00367,0.02853,0.04151,0.02537
"109",-0.01493,-0.01819,-0.04032,-0.00903
"110",-0.01121,0.04149,0.01534,0.04822
"111",0.01363,-0.02825,-0.01452,-0.03895
"112",-0.00389,-0.03367,-0.05163,-0.02338
"113",-0.00199,0.05103,0.04511,0.04895
"114",-0.01687,-0.00549,-0.0044,0.00066
"115",-0.02002,0.07372,0.04561,0.05448
"116",-0.01933,0.00217,-0.00495,0.00177
"117",-0.02054,0.04968,0.01104,0.04133
"118",0.01961,-0.03841,-0.01779,-0.04982
"119",0.01244,0.05924,0.05169,0.04783
"120",-0.00873,0.00453,-0.00505,0.01857
"121",-0.0145,0.0721,0.03955,0.08459
"122",0.01105,-0.00195,0.01154,-0.02194
"123",0.00605,0.03353,0.04148,0.03354
"124",-0.03395,0.04471,0.00187,0.05629
"125",-0.0033,-0.03386,-0.03139,-0.04129
"126",0.00656,-0.00028,4.99999999999996e-05,-0.00153
"127",-0.02508,-0.0398,-0.0499,-0.000380000000000002
"128",0.02133,0.00545,0.03301,-0.00484
"129",0.02624,0.00242,0.02889,-0.01524
"130",-0.02296,0.05578,0.03657,0.05202
"131",-0.00131,0.03725,0.0298,0.03415
"132",0.01492,-0.01234,0.0055,-0.01006
"133",0.01831,0.02337,0.03491,0.02634
"134",-0.00192,-0.01244,-0.01388,0.00268
"135",-0.000180000000000001,0.01402,0.00717,0.01723
"136",-0.01558,0.05082,0.03939,0.05361
"137",-0.00613,0.05161,0.0489,0.05392
"138",0.00772,-0.02094,-0.00117,-0.01794
"139",0.02215,-0.03095,-0.02017,-0.02377
"140",-0.00323,-0.00981,-0.00283,0.00028
"141",-0.02044,0.05004,0.03154,0.07045
"142",-0.02309,0.03779,0.02204,0.0519
"143",-0.00344,-0.03884,-0.03018,-0.04608
"144",-0.01782,0.02024,-0.00799,0.01548
"145",-0.01789,-0.06959,-0.06728,-0.04869
"146",-0.0248,0.0156,-0.03756,0.02836
"147",0.02623,-0.03199,-0.00613,-0.0366
"148",-0.02522,0.0921,0.0577,0.08142
"149",-0.04032,0.03138,0.0242,0.05492
"150",-0.03084,-0.07576,-0.10518,-0.06018
"151",0.04915,-0.04141,0.01186,-0.05371
"152",0.01878,0.000660000000000001,0.02319,0.00376
"153",0.00566999999999999,-0.11787,-0.1024,-0.1325
"154",0.0174,-0.18656,-0.23132,-0.18709
"155",0.00532999999999999,-0.10283,-0.10971,-0.10866
"156",0.0203,0.0193,0.03827,0.045
"157",0.0288,-0.1066,-0.08924,-0.08993
"158",-0.00145999999999999,-0.10848,-0.11867,-0.11777
"159",0.01249,0.10543,0.10218,0.0808
"160",0.00463,0.15707,0.09498,0.1614
"161",-0.06321,0.09347,0.04562,0.08925
"162",0.01178,-0.01524,0.01209,-0.0274
"163",0.01067,0.09539,0.10556,0.08026
"164",5e-04,0.04734,0.03968,0.0376
"165",-0.0116,0.0547,0.04513,0.05977
"166",0.01157,-0.03569,-0.02756,-0.04934
"167",0.01793,0.08229,0.07528,0.07732
"168",0.01082,0.04774,0.03213,0.03638
"169",0.0089,-0.03758,-0.02632,-0.03717
"170",-0.0044,0.0641,0.06588,0.05289
"171",-4e-04,0.06404,0.06439,0.0794
"172",0.00722,0.02402,0.04846,-0.00453
"173",0.01184,-0.08976,-0.07462,-0.08861
"174",-0.00115,-0.07981,-0.08821,-0.07551
"175",-0.01402,0.07826,0.0645,0.09559
"176",-0.02214,-0.0521,-0.05608,-0.04824
"177",-0.00206000000000001,0.1195,0.12671,0.11032
"178",-0.00924,0.03338,0.02211,0.05073
"179",2.00000000000006e-05,0.0339,0.02064,0.02604
"180",-0.01131,0.09291,0.0747,0.08836
"181",-0.00126,0.012,0.02304,0.00195
"182",0.00689,0.04857,0.0529,0.03148
"183",-0.01615,0.02349,0.02868,0.03232
"184",0.01445,0.03043,0.02761,0.03414
"185",-0.00385,-0.02343,-0.01536,-0.02828
"186",0.00868,-0.01666,-0.01531,-0.01009
"187",-0.00725,-0.02643,-0.02468,-0.0294
"188",0.01507,-0.05883,-0.05145,-0.07656
"189",0.02501,-0.09827,-0.07915,-0.09779
"190",-0.02975,0.14419,0.11319,0.15398
"191",0.00502,-0.00772,0.000329999999999999,0.00996
"192",0.01787,-0.03627,-0.02068,-0.03076
"193",0.01562,0.05742,0.0605,0.06396
"194",0.00975,0.04107,0.04036,0.04143
