"","x"
"1","Agric"
"2","Food"
"3","Soda"
"4","Beer"
"5","Smoke"
"6","Toys"
"7","Fun"
"8","Books"
"9","Hshld"
"10","Clths"
"11","Hlth"
"12","MedEq"
"13","Drugs"
"14","Chems"
"15","Rubbr"
"16","Txtls"
"17","BldMt"
"18","Cnstr"
"19","Steel"
"20","FabPr"
"21","Mach"
"22","ElcEq"
"23","Autos"
"24","Aero"
"25","Ships"
"26","Guns"
"27","Gold"
"28","Mines"
"29","Coal"
"30","Oil"
"31","Util"
"32","Telcm"
"33","PerSv"
"34","BusSv"
"35","Hardw"
"36","Softw"
"37","Chips"
"38","LabEq"
"39","Paper"
"40","Boxes"
"41","Trans"
"42","Whlsl"
"43","Rtail"
"44","Meals"
"45","Banks"
"46","Insur"
"47","RlEst"
"48","Fin"
"49","Other"
