"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"1",-0.0877894035925101,0,-0.0368255873432197,0,0,0.217961072124439,-0.0882220712465087,0,0,0.134604275140925,-0.0302895762801077,0,0,0,0,0,-0.728891799425866,0,0,0,0,0,0.0998511842451508,0.0279771249945578,0,0,0.0232303120206118,0,0.0447738939910258,0,0,-0.0660094400784732,0,0,0,0.0523468999379324,0,0,0.0279576512597107,0,0,0,0,0,0,0,0,0,0.114120761946991
"2",-0.0364220446564883,0,0,-0.110262196955024,0,0,1.73472347597681e-18,0,0,0.013703953230127,0,0,0,-0.0219051252910459,0,0.00935577731415879,0,0,0,0,0,0,0,-0.0327875071923258,-0.0156894079025279,0,-0.0353940229515626,-0.12337651173996,0,0,0.0487178072580972,0,0,0,0,2.16840434497101e-19,0.00202084529579446,0,-0.0285310301097334,-0.0605397871591848,0,0,0,0,0,0,-0.0137566855475772,0,0.142261282495081
"3",0,0,0,0,0,-0.00911849525658158,0.0570617922337719,0.179750798191334,0,0,0,0,0,0,-0.0927656445217403,0,0,1.0842021724855e-19,0,-4.33680868994202e-19,0,0,0,0,-0.211782707155544,0.0944355293014081,0.0512028571660309,0,-0.000201321856070414,0,0,0,0,0,0,0,0,0,0,-0.0812119493563525,0,0,0,-0.0107751646198709,-0.091429413899761,0.0383304785828466,-0.112944737840581,0,0
"4",-0.00875375269406261,0,-0.0185224479035925,0,-0.0253255416944682,-0.126914067790328,0.0155149639965622,0.0196633190877541,0,0.17946281145139,0,0,-0.0229988429835005,0,-0.0120188988186097,0,0,0,0,0,0,0,0.0335117780128738,0,0,0,0.0651207964030832,-0.0991076845557063,-0.0711100687498572,-0.0842700260261291,0,0,0,0.0653874635088672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000418252822726271
"5",0,0,0.00838041027966762,0.0119275339527067,0,0,-0.0316189019127524,0,0,0,0,-0.0123971411489519,0,0,0,0.0139208834373042,0,0.0462149088575456,0,0,0,0,0,0,0,0,0.00853300983306056,0,0,-0.102561231697712,0.0665316390564441,0,0,0,0,0,0,-0.00800374118663352,-0.0178919547867327,-0.0887262709396412,0,0,0,0,0.0264556973933357,0,0,0,0
"6",0,0,0,0,0,-0.046559231449402,0,0,0,0.0303766410094836,-0.0999228166858064,0,0,0,0,0,0,0.058521680803119,-0.03951240127115,-0.10214388713808,0,0,0,-0.036162946743252,-0.0579749745998601,0,0.0678635894844456,0,-0.0680683750275507,0,0,0,0.0577606158063775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0985114620666869
"7",0,0,0.0329913534943912,0,0,0,0.0410288701027058,0,0,0.202485939805495,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0517251441498645,-0.128950215196054,0,0,0,-0.0493086134461938,0,0,0,0.063413134496099,0,0,-0.131967160125947,0.0358086653302101,0,0,0.0167149402044575,0,0,0,0,0,0,0.107899318619466,0.035399787210052,0
"8",0,0,0.04135647130764,0.0852016922111334,0.0193307454864943,0,0.0357761534141509,0,0,0,0,0,0,0,0,0,0,0,-0.0142914209971991,-0.176399269083219,0,0,0,-0.0726821472332132,-0.0925580412260864,0,0.0416693212325193,0,-0.0530103428855024,-0.113322975477984,0,0,0.0117768637879174,0,0.090892335982347,0,0,0,0,-0.038250645381813,0,0,0,0,0,0,0.11828028090419,0,-0.0133459226635666
"9",0,0,0,0,0,-0.031534612098865,0,0,-0.0880536894055297,0.0891896832032758,0,-0.0647274201179539,0,0,-0.0316723567269349,0.0074110089277436,0,0,0,0,0,0,0.0422997787399611,0,-0.104581006643559,0,0.0142559814205137,-0.112176608473528,-0.0440504973355604,0,0,0,0.116702375873187,0.121931445781418,0,0.0377884723065261,0,0,0,-0.138921839676746,0,0,0,0,0,0,0.0112026159721957,0,0
"10",0,0,0.158094462267478,0,0,0,-0.0405318063101991,0,0,0,0,0,0,0,-0.0435877111846306,0,0,0.0642707481088457,-0.112699145354597,0,0,-0.0261466014834353,0,-0.0192119278142475,-0.0871752255986714,0,1.73472347597681e-18,0,-0.103875136543538,0,0,0,0,0,0,0,0.194577523224024,0.0233245879038264,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0246330426376025,0
"11",0.0650240645336001,0,0.0756473838233127,0,0,0.0665131523258436,0.00370740272296341,0,0,0,0,0,-0.130337106879563,0,-0.200106643046828,0,0,0,-0.184271962730747,0,0,0,0,0,-0.185864746937368,0.0811537349960727,-0.0161109012273292,-0.112007979175083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171549230757036,0.0708056730393645,0.265976813519942
"12",0,0,0,0.101324677928195,0,0.0257786323716042,0,0,0,0.0472854195433689,0,-0.142109107732867,0,0,0,0,0,0,0,-0.00876971071929004,0,0,0,0,-0.112570143787901,0,-0.0173622926360283,-0.0702411514462139,-0.0211836147029148,0,0,0,0.0386483197144499,0,0,0.0290874117331829,0,0,0,0,0,0,0,0,0,0,0.028178997727299,0,0.0660516763448016
"13",0,0,-0.0335586147952189,0,0.00172732726411737,0,0,0.00150863579349653,0,0,0,0,-0.0930463968117048,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158140740839435,0,-0.0972321877352332,0,0.0121209621318416,0,0,0.0636726579079281,0,0,0,0,0,0,-0.0488590857485976,0,0,0,0,0,0,0,0
"14",0,-0.0050338459636324,0.071354518142079,0,0,0,-0.090907993314665,0,0,0.0640455936133411,0,0,0,0,0,0,0,0,0,0,0,-0.0125523594815864,0,0,-0.19055616884487,0,-0.0159304117096018,-0.0108844609414586,-0.0249818625035037,-0.205905408329316,0,-0.0299863320902269,0,0,0,0.0286712364915203,0,0,0,-0.0236580094925784,0,0,0,0,0,0,0.0733169521639205,0,0
"15",0.167072294594357,-0.0499815727888072,0.0617803529489192,0,0,0,0,0,0,0,-0.0622958008797697,0,0,0.193823455290381,-0.149149431273528,0,0,0,0,0,0,0,-0.0170066836909738,0,0,0,0.102404698267601,-0.194846619697069,0,-0.0897559404897852,0,0,0.0286855397612638,0,0,0,0,0,0.0311804838457518,0,0,0,0,0,0,0,0,0,-0.00520833647324418
"16",0,0,0,0,0.00073104453904945,0,0,0,0,0,0,0,0,0,-0.100306430676142,-0.0190279094716214,0,0,0,-0.114297504640117,0,-0.108496180796733,0,0,0,0,0.0628521715169851,0,-0.07372240780826,-0.147132726376596,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.108627798602666,0,0,0,0,0.286768931431871,0
"17",-0.0232348116592443,0,0,-0.0626875897595892,0,0,-0.087836180946724,0,0,0,0,0,0,0,0,0,0,0.0754245547079233,-0.0130186360980592,0,0,0,0.0101619701496697,0,-0.00737794769286271,0,0.0444986228996152,-0.0934448851182277,-0.0852236278564894,-0.191455799577972,0.0320112856332076,0,0.0279755218793776,0,0.0204156239289701,0,0,0,0,-0.0456977473254424,0,0,0,0,0.0865299202554264,0.00953558261671522,0,0,0
"18",0.0339309051379373,0,0,0,0,0,-0.157205167494521,0,0,0,0,0,0,0,-0.0907272483790721,0,0,0.158887041134217,-0.149003710906179,0,0,0,0,0,-0.131228836721932,0,0.0322979985330813,0,-0.0124637522649429,-0.110066300681662,0,0,0,0,0.0616091388710045,0,0,0,0,-0.074151053320527,0,0,0,0,0,0.164385648634685,0,0.226086232040862,0.120418502844509
"19",0,0,0,0,0,0,0.126615566850253,0,0,0.0161589293177287,0,0,-0.0359177953812904,0,-0.00782447907799727,0,0,0,0,-0.117758862902278,0,0,0,0,-0.385829024508452,0,0.0827624239961015,0,2.16840434497101e-19,0,0,0,0,0,0.341562215368349,-0.0621081013775543,0,-0.325732068479627,0,0,0.0855260022161417,0,0,0,0,0.0897590585117577,0,0.0922871709478223,0.0590964218222636
"20",0,0,0.0276684471066989,0,0,0.01305963919142,0,0,0,0,0,0,-0.145698143477702,0,0,0.0302385416268402,0,0,-0.159433017530419,-0.141586337556576,0,0,0,0,-0.032617305994619,0,0,-0.000923414215179626,0,0.0153548812599827,0,0,0,0,0,0,0.0206580413616582,-0.21338152784839,0,0,0,0,0,0,0,0,0,0.05506156300597,0.25547742158587
"21",0,0,0,0,0,0,-0.0702851476152741,0,0,0,0,0,0,0,0,0,0,0.0162785511183149,0,-0.0337906259628243,0,0,0,0,-0.224454092681028,0,0.0263930985575666,-0.110763643106451,0,0,0.00968071465206772,0,0,0,0,0.0164098680135398,0,-0.0352658946944095,0,0,0,0,0,0,0.0945732243996338,0,0.0382058990639442,0,0
